,brand,model,operation_mode,feed_opening_shape,body_material,liner_material,applicable_number,power,cooking_function,function,capacity,speed_adjustment,type,cup_material,speed,status
31,supor/苏泊尔,TJE06B-400,,圆形,不锈钢,,,400-600W,,"搅拌,榨汁",0.5L容量,,,食品级PP材料,,0
32,沃佳健,218D,,,,,4-5人,200-400W,,"搅拌,果汁,绞肉",,,,食品级PC材料,25000-29999转/分钟,0
33,闪亮,CS-1800A,,,,,5人以上,200-400W,,"搅拌,切丝/切片,碎肉,制奶昔,混合,打蛋,绞肉,碎冰,榨汁,干磨",2.5L容量,2档以上,,,35000-39999转/分钟,0
34,爱米兔,AMT 2168,,,,,3-4人,200-400W,,"米糊,豆浆,果汁",,,,塑料,30000-34999转/分钟,0
35,longde/龙的,PLUS 65,,圆形,塑料,,,200-400W,,榨汁,0.6L容量,,,塑料,20000-24999转/分钟,0
36,tonze/天际,DZJ-402,,月牙形,塑料,,,200-400W,,"搅拌,碎肉,制奶昔,豆浆,榨汁,干磨",1L容量,,,塑料,10000-14999转/分钟,0
37,hyundai/现代,BD-JB2305,,圆形,塑料,,2-3人,200-400W,,"搅拌,榨汁",,,,塑料,10000-14999转/分钟,0
38,欧美爵士,O662R,,,,,,200-400W,,搅拌,,,,塑料,0-4999转/分钟,0
39,electrolux/伊莱克斯,EFP296A,,,,,,200-400W,,,,,,塑料,0-4999转/分钟,0
40,vitaland/威的,VL-3666A,,,,,1-3人,200-400W,,"搅拌,碎肉,制奶昔,混合,打蛋,绞肉,碎冰,榨汁,干磨",0.7L容量,2档以上,,食品级PC材料,15000-19999转/分钟,0
41,艾米兔,AMT2168,,,,,4-5人,200-400W,,"碎冰,碎肉,榨汁,干磨,搅拌",,,,食品级PC材料,30000-34999转/分钟,0
42,joyoung/九阳,JYL-C52V,,圆形,塑料,,2-3人,200-400W,,"搅拌,碎肉,制奶昔,辅食,豆浆,榨汁,干磨",1L容量,,,食品级PC材料,20000-24999转/分钟,0
43,好妈咪,SS250-A3,,,,,4-5人,200-400W,,"绞肉,研磨",,3档,,食品级PC材料,20000-24999转/分钟,0
44,sande/三的,SD-LL25,,圆形,塑料,,,200-400W,,"搅拌,碎肉,制奶昔,辅食,豆浆,榨汁",0.6L容量,,,食品级PC材料,20000-24999转/分钟,0
45,福菱,FL-002,,圆形,塑料,,,200-400W,,"搅拌,碎肉,制奶昔,碎冰,榨汁,干磨",1.2L容量,,,食品级PC材料,其他,0
46,royalstar/荣事达,RZ-378H,,,,,1-3人,200-400W,,"搅拌,碎肉,打蛋,绞肉,榨汁,干磨",0.8L容量,2档以上,,食品级材料,20000-24999转/分钟,0
47,喜乐多,XLD-L03,,圆形,塑料,,,200-400W,,"搅拌,制奶昔,豆浆,碎冰,榨汁,干磨",0.5L容量,,,食品级材料,20000-24999转/分钟,0
48,hanil,HMF-3300CN,,,,,5人以上,200-400W,,"搅拌,切菜,和面,碎肉,制奶昔,混合,绞肉,碎冰,切丝/切片,榨汁,干磨",3.2L容量,2档以上,,不锈钢,5000-9999转/分钟,0
49,kenwood/建伍,SB307,,,,,,200-400W,,,1L容量,,,不锈钢,15000-19999转/分钟,0
50,krups,KB255,,,,,1-3人,200-400W,,"搅拌,碎肉,制奶昔,绞肉,碎冰,榨汁,干磨",0.6L容量,,,食品级AS材料,20000-24999转/分钟,0
51,donlim/东菱,DL-BX200,,圆形,食品级PP,,,200-400W,,"搅拌,制奶昔,榨汁",1.5L容量,,,食品级ABS材料,30000-34999转/分钟,0
52,cuisinart/美膳雅,CPB-300WCN,,,,,4-5人,200-400W,,"搅拌,碎肉,制奶昔,混合,打蛋,绞肉,碎冰,干磨",0.9L容量,2档以上,,聚碳酸酯材料,20000-24999转/分钟,0
53,尚动,SD-05,,圆形,塑料,,,200-400W,,"搅拌,制奶昔,和面,碎肉,切菜,打蛋,碎冰,榨汁,干磨",1.2L容量,,,食品级PP材料,20000-24999转/分钟,0
54,飞宝乐,XZ-Z62,,,,,1-3人,200-400W,,"搅拌,碎肉,制奶昔,混合,打蛋,绞肉,榨汁,干磨",0.5L,2档以上,,,20000-24999转/分钟,0
55,ranbem/瑞本,303,,圆形,不锈钢,,,200-400W,,"搅拌,碎肉,制奶昔,碎冰,榨汁,干磨",0.6L容量,,,Tritan材料,20000-24999转/分钟,0
56,ranbem/瑞本,302,,圆形,塑料,,,200-400W,,"搅拌,碎肉,制奶昔,碎冰,榨汁,干磨",0.6L容量,,,Tritan材料,20000-24999转/分钟,0
57,oster/奥士达,BLSTMM1-BRE-073,,圆形,塑料,,,200-400W,,"搅拌,碎肉,制奶昔,碎冰,榨汁,干磨",0.6L容量,,,Tritan材料,20000-24999转/分钟,0
58,喜能达,L902,,圆形,塑料,,,200-400W,,"搅拌,制奶昔,榨汁",0.57L容量,,,Tritan材料,15000-19999转/分钟,0
59,奥科,AK-006,,圆形,不锈钢,,,200-400W,,"搅拌,制奶昔,碎肉,切菜,打蛋,榨汁,干磨",0.6L容量,,,Tritan材料,25000-29999转/分钟,0
60,joyoung/九阳,L6-C3,,圆形,塑料,,,200-400W,,"搅拌,制奶昔,榨汁",0.6L容量,,,,0-4999转/分钟,0
61,雪尔惠,TT,,圆形,塑料,,,200-400W,,"搅拌,制奶昔,辅食,果泥,豆浆,榨汁,干磨",0.42L容量,,,玻璃,25000-29999转/分钟,0
62,philips/飞利浦,HR2850,,,,,1-3人,200-400W,,搅拌,0.6L容量,1档,,塑料,其他,0
63,nintaus/金正,D13,,,,,5人以上,2200-2400W,,"碎冰,搅拌,制奶昔,榨汁,混合",1.3L容量,,,不锈钢,45000-49999转/分钟,0
64,severin,SM3738,,,不锈钢,,1-3人,400-600W,,"碎冰,榨汁,干磨",1L容量,,,玻璃,20000-24999转/分钟,0
65,oster/奥士达,BLST4090-073,,,,,4-5人,400-600W,,"搅拌,制奶昔,混合,打蛋,碎冰,榨汁",1.25L容量,2档以上,,玻璃,20000-24999转/分钟,0
66,欧美爵士,SLK102GR-C,,,,,4-5人,400-600W,,"碎冰,搅拌,榨汁",,,,玻璃,20000-24999转/分钟,0
67,菲仕乐,Finecut,,,,,4-5人,,,"搅拌,蔬果汁",,,,,,0
68,朋客,NH2600,,,,,4-5人,400-600W,,"碎肉,制奶昔,豆浆,碎冰,榨汁,干磨",0.9L容量,,,塑料,45000-49999转/分钟,0
69,whirlpool/惠而浦,WJU-MS501J,,圆形,不锈钢,,,400-600W,,"榨汁,豆浆",0.55L容量,,,塑料,20000-24999转/分钟,0
70,oster/奥士达,BLSTPB-WBL-073,,,,,,400-600W,,"搅拌,制奶昔,打蛋,碎冰,榨汁,干磨",0.6L容量,,,塑料,20000-24999转/分钟,0
71,闪亮,BL-018,,,,,1-3人,400-600W,,"搅拌,冰淇淋,果汁",1L容量,2档以上,,不锈钢,30000-34999转/分钟,0
72,madin/麦登,MD-188T,,,,,5人以上,400-600W,,奶盖,1.8L容量,2档以上,,不锈钢,25000-29999转/分钟,0
73,eupa/灿坤,TSK-9686BAP,,圆形,塑料,,,400-600W,,"碎冰,搅拌,榨汁",1.75L容量,,,玻璃,20000-24999转/分钟,0
74,kesun/科顺,XF-818,,圆形,塑料,,,400-600W,,"搅拌,碎肉,制奶昔,打蛋,豆浆,榨汁,干磨",1.5L容量,,,塑料,20000-24999转/分钟,0
75,蒙得,JY-GZ02,,圆形,不锈钢,,,400-600W,,"搅拌,制奶昔,面膜,辅食,豆浆,碎冰,榨汁",0.6L容量,,,塑料,20000-24999转/分钟,0
76,顺庭,ST-305,,圆形,不锈钢,,,400-600W,,"搅拌,制奶昔,绞肉,辅食,豆浆,沙冰,榨汁,干磨",1L容量,,,塑料,20000-24999转/分钟,0
77,韩泽,PY30,,圆形,塑料,,,400-600W,,"碎冰,搅拌,制奶昔,干磨,榨汁",0.6L容量,,,塑料,20000-24999转/分钟,0
78,蒙得,JY-GZ01,,圆形,塑料,,,400-600W,,"搅拌,制奶昔,榨汁",0.6L容量,,,食品级PC材料,20000-24999转/分钟,0
79,midea/美的,MJ-BL25B26,,圆形,塑料,,,400-600W,,"搅拌,制奶昔,干磨,榨汁,豆浆",1.25L容量,,,食品级PC材料,15000-19999转/分钟,0
80,多乐欣,DL-350A,,圆形,塑料,,,400-600W,,"搅拌,制奶昔,干磨,榨汁,碎肉",0.75L容量,,,食品级PC材料,15000-19999转/分钟,0
81,deneng/德能,BL-07,,圆形,塑料,,,400-600W,,"搅拌,制奶昔,碎肉,切菜,碎冰,榨汁,干磨",0.6L容量,,,PCTG,20000-24999转/分钟,0
82,hyundai/现代,QC-JB2358,,圆形,塑料,,,400-600W,,"打蛋,搅拌,碎冰,制奶昔,榨汁",0.6L容量,,,PCTG,15000-19999转/分钟,0
83,ashton/阿诗顿,FP-600,,圆形,不锈钢,,,400-600W,,"碎冰,搅拌,制奶昔,榨汁",0.6L容量,,,Tritan材料,20000-24999转/分钟,0
84,vitaland/威的,VL-333A,,圆形,不锈钢,,,400-600W,,"碎冰,搅拌,制奶昔",0.6L容量,,,Tritan材料,20000-24999转/分钟,0
85,申花,SH-B18,,圆形,不锈钢,,,400-600W,,"搅拌,碎肉,制奶昔,碎冰,榨汁,干磨",0.6L容量,,,Tritan材料,20000-24999转/分钟,0
86,skg,2107,,圆形,不锈钢,,,400-600W,,"搅拌,制奶昔,榨汁",0.6L容量,,,Tritan材料,20000-24999转/分钟,0
87,skg,2098,,圆形,塑料,,,400-600W,,"搅拌,制奶昔,和面,碎肉,切菜,打蛋,碎冰,榨汁,干磨",0.6L容量,,,Tritan材料,20000-24999转/分钟,0
88,ergo chef, CHEF  BLMJ40136,,圆形,不锈钢,,,400-600W,,"搅拌,碎肉,制奶昔,辅食,榨汁,干磨",0.6L容量,,,Tritan材料,20000-24999转/分钟,0
89,申花,SH-05,,圆形,不锈钢,,,400-600W,,"搅拌,碎肉,制奶昔,打蛋,碎冰,榨汁",0.6L容量,,,Tritan材料,20000-24999转/分钟,0
90,oster/奥士达,BLSTPB-SRR-073,,圆形,塑料,,,400-600W,,"碎冰,搅拌,制奶昔,干磨,榨汁",0.6L容量,,,Tritan材料,20000-24999转/分钟,0
91,凌力,XZ9100,,圆形,不锈钢,,,400-600W,,"搅拌,碎肉,制奶昔,打蛋,碎冰,榨汁,干磨",0.6L容量,,,Tritan材料,20000-24999转/分钟,0
92,leibokiss/雷柏克斯,YD-101,,圆形,不锈钢,,,400-600W,,"搅拌,制奶昔,榨汁",0.6L容量,,,Tritan材料,20000-24999转/分钟,0
93,gaobin/高宾,AXQ-GZ1688,,圆形,不锈钢,,,400-600W,,"搅拌,果酱,制奶昔,辅食,豆浆,榨汁",0.6L容量,,,Tritan材料,20000-24999转/分钟,0
94,asppuer/欧索普尔,OS-621,,圆形,钢琴烤漆,,,400-600W,,"搅拌,和面,碎肉,制奶昔,打蛋,碎冰,榨汁,干磨",0.6L容量,,,Tritan材料,20000-24999转/分钟,0
95,hyundai/现代,QC-JB2359,,圆形,塑料,,,400-600W,,"搅拌,制奶昔,榨汁",0.6L容量,,,Tritan材料,20000-24999转/分钟,0
96,royalstar/荣事达,RZ-718S,,圆形,塑料,,,400-600W,,"搅拌,制奶昔,和面,碎肉,切菜,打蛋,碎冰,榨汁,干磨",0.6L容量,,,Tritan材料,20000-24999转/分钟,0
97,fronton/弗朗顿,TB12M,,圆形,不锈钢,,5人以上,400-600W,,"搅拌,制奶昔,碎肉,切菜,打蛋,碎冰,榨汁,干磨",1.5L容量,,,Tritan材料,20000-24999转/分钟,0
98,mondial,DG-03,,圆形,不锈钢,,,400-600W,,"搅拌,碎肉,制奶昔,打蛋,碎冰,榨汁,干磨",0.6L容量,,,PCTG,20000-24999转/分钟,0
99,kqueen/向葵,LITTLE,,圆形,塑料,,,400-600W,,"搅拌,制奶昔,辅食,豆浆,碎冰,榨汁",0.6L容量,,,Tritan材料,20000-24999转/分钟,0
100,yibeinuo/伊贝诺,JB-11,,圆形,不锈钢,,,400-600W,,"碎冰,搅拌,制奶昔,榨汁",0.6L容量,,,玻璃,20000-24999转/分钟,0
101,midea/美的,MJ-WJE4001D,,圆形,不锈钢,,,400-600W,,榨汁,0.35L容量,,,塑料,,0
102,msx/美善美心,VT-17,,圆形,塑料,,,400-600W,,"碎冰,搅拌,榨汁,干磨",0.8L容量,,,食品级PC材料,25000-29999转/分钟,0
103,jizya/吉之雅,Q5,,圆形,塑料,,,400-600W,,"碎冰,搅拌,制奶昔,榨汁,料理",1.5L容量,,,玻璃,20000-24999转/分钟,0
104,deerma/德尔玛,JC-776G,,圆形,塑料,,,400-600W,,"碎冰,搅拌,干磨",1L容量,,,玻璃,15000-19999转/分钟,0
105,deneng/德能,BL-15A,,圆形,不锈钢,,,400-600W,,"搅拌,制奶昔,米糊,辅食,碎冰,榨汁",0.6L容量,,,塑料,20000-24999转/分钟,0
106,zkd/中科电,JUICER2,,圆形,不锈钢,,,400-600W,,榨汁,0.5L容量,,,塑料,20000-24999转/分钟,0
107,anmir/安蜜尔,AMR513A,,圆形,不锈钢,,,400-600W,,"搅拌,碎肉,制奶昔,豆浆,碎冰,榨汁,干磨",1.5L容量,,,食品级材料,15000-19999转/分钟,0
108,rota/润唐,RTZZ-30C,,圆形,不锈钢,,,400-600W,,"搅拌,碎肉,制奶昔,豆浆,碎冰,榨汁,干磨",0.6L容量,,,Tritan材料,20000-24999转/分钟,0
109,bear/小熊,LLJ-D05E1,,圆形,塑料,,,400-600W,,"搅拌,榨汁,混合",0.5L容量,,,玻璃,20000-24999转/分钟,0
110,konka/康佳,KJ-JF302,,圆形,塑料,,1-3人,400-600W,,"搅拌,制奶昔,米糊,辅食,豆浆,面膜,榨汁",0.5L容量,,,塑料,20000-24999转/分钟,0
111,sande/三的,SD-LL09,,圆形,不锈钢,,,400-600W,,"搅拌,制奶昔,辅食,豆浆,沙冰,榨汁",0.6L容量,,,塑料,20000-24999转/分钟,0
112,ouke/欧科,OK3033C1,,圆形,塑料,,,400-600W,,"搅拌,碎肉,制奶昔,碎冰,榨汁,干磨",1L容量,,,塑料,20000-24999转/分钟,0
113,nintaus/金正,JZM-2506,,圆形,塑料,,,400-600W,,"搅拌,研磨,制奶昔,绞肉,辅食,豆浆,榨汁",1.15L容量,,,塑料,20000-24999转/分钟,0
114,hanmeidun/汉美顿,Y-725,,月牙形,塑料,,,400-600W,,榨汁,0.5L容量,,,塑料,0-4999转/分钟,0
115,xm/芯美,JB-828,,圆形,塑料,,,400-600W,,"搅拌,制奶昔,碎肉,切菜,打蛋,碎冰,榨汁,干磨",1.5L容量,,,食品级PC材料,15000-19999转/分钟,0
116,多乐欣,DL-228A,,圆形,塑料,,,400-600W,,"搅拌,制奶昔,干磨,榨汁,碎肉",1.5L容量,,,食品级PC材料,15000-19999转/分钟,0
117,多乐欣,DL-179,,圆形,塑料,,,400-600W,,"搅拌,制奶昔,干磨,榨汁,碎肉",1.25L容量,,,食品级PC材料,15000-19999转/分钟,0
118,多乐欣,DL-BL11PP-A,,圆形,塑料,,,400-600W,,"搅拌,碎肉,制奶昔,碎冰,榨汁,干磨",1.25L容量,,,食品级PC材料,15000-19999转/分钟,0
119,优阳,XZ-Z16,,圆形,塑料,,,400-600W,,"搅拌,制奶昔,榨汁",0.6L容量,,,PCTG,20000-24999转/分钟,0
120,wmf/福腾宝,041650991,,圆形,不锈钢,,,400-600W,,"碎冰,搅拌,制奶昔,榨汁",0.6L容量,,,Tritan材料,20000-24999转/分钟,0
121,orowa/欧诺华,OR802,,圆形,不锈钢,,,400-600W,,"搅拌,制奶昔,打蛋,碎冰,榨汁,干磨",0.6L容量,,,Tritan材料,20000-24999转/分钟,0
122,konka/康佳,KJ-JF308,,圆形,塑料,,,400-600W,,"搅拌,榨汁,干磨",0.5L容量,,,,20000-24999转/分钟,0
123,minos/迈诺诗,HTZ-1011A,,圆形,塑料,,,400-600W,,"碎冰,搅拌,制奶昔,榨汁,碎肉",0.55L容量,,,Tritan材料,20000-24999转/分钟,0
124,hanjiaours/汉佳欧斯,PY-898,,圆形,塑料,,,400-600W,,"搅拌,制奶昔,榨汁",0.6L容量,,,Tritan材料,20000-24999转/分钟,0
125,bearos/北球,301,,圆形,不锈钢,,,400-600W,,"碎肉,制奶昔,搅拌,切菜,榨汁,干磨",0.6L容量,,,Tritan材料,20000-24999转/分钟,0
126,gewei/格伟,GW-30C,,圆形,不锈钢,,,400-600W,,"果酱,制奶昔,辅食,豆浆,面膜,沙冰,榨汁",0.57L容量,,,Tritan材料,20000-24999转/分钟,0
127,sande/三的,SD-LL18,,圆形,不锈钢,,,400-600W,,"搅拌,碎肉,制奶昔,碎冰,榨汁,干磨",0.6L容量,,,Tritan材料,20000-24999转/分钟,0
128,rota/润唐,RTZZ-30B2,,圆形,塑料,,,400-600W,,"搅拌,制奶昔,榨汁",0.57L容量,,,Tritan材料,20000-24999转/分钟,0
129,扬子,YZ-GZ30,,圆形,不锈钢,,,400-600W,,"打蛋,搅拌,制奶昔,榨汁,面膜",0.6L容量,,,Tritan材料,20000-24999转/分钟,0
130,超级妈咪,MQ1,,圆形,塑料,,,400-600W,,"搅拌,制奶昔,干磨,榨汁",0.6L容量,,,Tritan材料,20000-24999转/分钟,0
131,sande/三的,SD-LL11,,圆形,不锈钢,,,400-600W,,"搅拌,制奶昔,和面,碎肉,切菜,打蛋,碎冰,榨汁,干磨",0.6L容量,,,Tritan材料,20000-24999转/分钟,0
132,顺庭,ST-30C,,圆形,不锈钢,,,400-600W,,"打蛋,搅拌,碎冰,制奶昔,榨汁",0.6L容量,,,Tritan材料,20000-24999转/分钟,0
133,顺庭,ST-30B,,圆形,塑料,,,400-600W,,"搅拌,制奶昔,打蛋,辅食,豆浆,碎冰,榨汁",0.6L容量,,,Tritan材料,20000-24999转/分钟,0
134,xianchun/鲜纯,TG6,,圆形,不锈钢,,,400-600W,,"搅拌,制奶昔,碎肉,切菜,打蛋,碎冰,榨汁,干磨",0.6L容量,,,Tritan材料,20000-24999转/分钟,0
135,yibeinuo/伊贝诺,JB -04,,圆形,不锈钢,,,400-600W,,"搅拌,制奶昔,切菜,打蛋,碎冰,榨汁",0.6L容量,,,Tritan材料,20000-24999转/分钟,0
136,tedeli/特得利,YMA-302,,圆形,塑料,,,400-600W,,"碎冰,搅拌,制奶昔,榨汁,碎肉",0.6L容量,,,Tritan材料,20000-24999转/分钟,0
137,巧厨娘,AN06,,圆形,金属,,,400-600W,,"搅拌,制奶昔,碎肉,切菜,打蛋,碎冰,榨汁,干磨",0.6L容量,,,,20000-24999转/分钟,0
138,sande/三的,SD-LL13,,圆形,金属,,,400-600W,,"搅拌,制奶昔,研磨,面膜,沙冰,榨汁",0.6L容量,,,Tritan材料,20000-24999转/分钟,0
139,fronton/弗朗顿,TB12S,,圆形,不锈钢,,,400-600W,,"碎冰,搅拌,制奶昔,榨汁",0.6L容量,,,Tritan材料,20000-24999转/分钟,0
140,ranbem/瑞本,RBM-301,,圆形,不锈钢,,,400-600W,,"碎冰,搅拌,制奶昔,干磨,榨汁",0.6L容量,,,Tritan材料,20000-24999转/分钟,0
141,fronton/弗朗顿,TB10A,,圆形,不锈钢,,,400-600W,,"碎冰,搅拌,制奶昔,榨汁",0.7L容量,,,Tritan材料,20000-24999转/分钟,0
142,fronton/弗朗顿,TB12P,,圆形,不锈钢,,,400-600W,,"打蛋,搅拌,碎冰,制奶昔,榨汁",0.9L容量,,,Tritan材料,20000-24999转/分钟,0
143,sande/三的,SD-LL07,,圆形,不锈钢,,,400-600W,,"搅拌,制奶昔,榨汁",0.6L容量,,,Tritan材料,20000-24999转/分钟,0
144,hyundai/现代,QC-JB2372,,圆形,不锈钢,,,400-600W,,"搅拌,碎肉,制奶昔,打蛋,碎冰,榨汁,干磨",0.6L容量,,,Tritan材料,20000-24999转/分钟,0
145,ranbem/瑞本,309,,圆形,塑料,,,400-600W,,"搅拌,碎肉,制奶昔,碎冰,榨汁,干磨",0.6L容量,,,Tritan材料,20000-24999转/分钟,0
146,bear/小熊,D05M2,,圆形,塑料,,,400-600W,,"搅拌,制奶昔,榨汁",0.6L容量,,,Tritan材料,20000-24999转/分钟,0
147,royalstar/荣事达,RZ-300S2,,圆形,不锈钢,,,400-600W,,"搅拌,制奶昔,榨汁,沙冰",0.75L容量,,,Tritan材料,15000-19999转/分钟,0
148,good kung fu/好功夫,15D,,圆形,不锈钢,,,400-600W,,"搅拌,制奶昔,辅食,碎冰,榨汁,干磨",0.6L容量,,,Tritan材料,30000-34999转/分钟,0
149,xianchun/鲜纯,AN06A,,圆形,不锈钢,,,400-600W,,"搅拌,制奶昔,碎肉,切菜,打蛋,碎冰,榨汁,干磨",0.6L容量,,,Tritan材料,25000-29999转/分钟,0
150,royalstar/荣事达,RZ-708C,,圆形,不锈钢,,,400-600W,,"搅拌,制奶昔,碎肉,切菜,碎冰,榨汁,干磨",0.5L容量,,,Tritan材料,25000-29999转/分钟,0
151,usata/御尚堂,BL200A,,圆形,不锈钢,,,400-600W,,"碎冰,搅拌,制奶昔,干磨,榨汁",0.5L容量,,,Tritan材料,25000-29999转/分钟,0
152,小厨师,A1,,圆形,塑料,,,400-600W,,"搅拌,研磨,制奶昔,辅食,果泥,豆浆,榨汁",0.6L容量,,,Tritan材料,25000-29999转/分钟,0
153,小浣熊,RBM-309,,圆形,塑料,,,400-600W,,"碎冰,搅拌,制奶昔,榨汁",0.6L容量,,,Tritan材料,0-4999转/分钟,0
154,vitaland/威的,VL-5002B(4IN1),,圆形,ABS+PP,,,400-600W,,"搅拌,榨汁,干磨,碎肉",0.65L容量,,,塑料,15000-19999转/分钟,0
155,tedeli/特得利,TDL-201,,圆形,不锈钢,,,400-600W,,"搅拌,制奶昔,榨汁",0.35L容量,,,塑料,其他,0
156,mingjian/名健,QF-903,,圆形,塑料,,,400-600W,,"搅拌,制奶昔,辅食,豆浆,沙冰,榨汁",0.6L容量,,,食品级PC材料,10000-14999转/分钟,0
157,jinxiong/金熊,JX3188,,圆形,,,,400-600W,,"搅拌,制奶昔,辅食,豆浆,碎冰,榨汁,干磨",1L容量,,,塑料,30000-34999转/分钟,0
158,福菱,FL1101,,圆形,不锈钢,,,400-600W,,"果酱,制奶昔,绞肉,辅食,豆浆,碎冰,榨汁",0.45L容量,,,塑料,30000-34999转/分钟,0
159,福菱,FL1308,,圆形,塑料,,,400-600W,,"搅拌,碎肉,制奶昔,绞肉,碎冰,榨汁,干磨",,,,塑料,30000-34999转/分钟,0
160,royalstar/荣事达,RZ-518S,,圆形,塑料,,,400-600W,,"搅拌,碎肉,制奶昔,打蛋,碎冰,榨汁,干磨",1L容量,,,塑料,10000-14999转/分钟,0
161,格明,GM-J09,,圆形,塑料,,,400-600W,,"碎冰,搅拌,制奶昔,榨汁",0.6L容量,,,Tritan材料,20000-24999转/分钟,0
162,supor/苏泊尔,ZQ19D-500,,圆形,不锈钢,,,400-600W,,榨汁,,,,,15000-19999转/分钟,0
163,zkd/中科电,ZZ59,,圆形,塑料,,,400-600W,,"搅拌,碎肉,制奶昔,豆浆,碎冰,榨汁,干磨",1.2L容量,,,塑料,15000-19999转/分钟,0
