,brand,model,tag,target,grade,frequency
130,midea/美的, MJ-WBL2501B,质量,声音,-1,5.0
131,midea/美的, MJ-WBL2501B,质量,声音,-1,1.0
132,midea/美的, MJ-WBL2501B,质量,声音,1,1.0
133,midea/美的, MJ-WBL2501B,质量,声音,1,1.0
134,midea/美的, MJ-WBL2501B,质量,声音,1,1.0
135,midea/美的, MJ-WBL2501B,功能,功能,-1,1.0
136,midea/美的, MJ-WBL2501B,质量,噪音,-1,1.0
137,midea/美的, MJ-WBL2501B,质量,噪音,-1,1.0
138,midea/美的, MJ-WBL2501B,功能,很给力,1,1.0
139,midea/美的, MJ-WBL2501B,适用人群,宝贝,1,5.0
140,midea/美的, MJ-WBL2501B,适用人群,宝贝,1,2.0
141,midea/美的, MJ-WBL2501B,适用人群,宝贝,1,4.0
142,midea/美的, MJ-WBL2501B,适用人群,宝贝,1,1.0
143,midea/美的, MJ-WBL2501B,质量,质量,1,5.0
144,midea/美的, MJ-WBL2501B,质量,质量,1,5.0
145,midea/美的, MJ-WBL2501B,质量,质量,-1,1.0
146,midea/美的, MJ-WBL2501B,质量,质量,1,1.0
147,midea/美的, MJ-WBL2501B,质量,质量,-1,1.0
148,midea/美的, MJ-WBL2501B,价格,价格,1,2.0
149,midea/美的, MJ-WBL2501B,价格,价格,1,1.0
150,midea/美的, MJ-WBL2501B,服务,态度,1,1.0
151,midea/美的, MJ-WBL2501B,服务,态度,1,1.0
152,midea/美的, MJ-WBL2501B,服务,态度,1,1.0
153,midea/美的, MJ-WBL2501B,质量,挺好,1,6.0
154,midea/美的, MJ-WBL2501B,质量,挺好,1,1.0
155,midea/美的, MJ-WBL2501B,质量,挺好,1,1.0
156,midea/美的, MJ-WBL2501B,质量,挺好,1,1.0
157,midea/美的, MJ-WBL2501B,价格,性价比,0,1.0
158,midea/美的, MJ-WBL2501B,物流,物流,1,8.0
159,midea/美的, MJ-WBL2501B,物流,物流,1,3.0
160,midea/美的, MJ-WBL2501B,物流,物流,1,8.0
161,midea/美的, MJ-WBL2501B,物流,物流,1,1.0
162,midea/美的, MJ-WBL2501B,物流,物流,1,1.0
163,midea/美的, MJ-WBL2501B,物流,物流,0,2.0
164,midea/美的, MJ-WBL2501B,物流,物流,-1,1.0
165,midea/美的, MJ-WBL2501B,款式,外观,1,1.0
166,midea/美的, MJ-WBL2501B,款式,外观,1,1.0
167,midea/美的, MJ-WBL2501B,款式,外观,1,1.0
168,midea/美的, MJ-WBL2501B,款式,大小,1,1.0
169,midea/美的, MJ-WBL2501B,服务,包装,1,2.0
170,midea/美的, MJ-WBL2501B,服务,包装,1,1.0
171,midea/美的, MJ-WBL2501B,服务,包装,1,1.0
172,midea/美的, MJ-WBL2501B,服务,包装,1,1.0
173,midea/美的, MJ-WBL2501B,质量,稳定性,1,1.0
174,midea/美的, MJ-WBL2501B,功能,西瓜,1,1.0
175,midea/美的, MJ-WBL2501B,功能,效率,1,1.0
176,midea/美的, MJ-WBL2501B,功能,苹果泥,1,1.0
177,midea/美的, MJ-WBL2501B,功能,果汁,1,2.0
178,midea/美的, MJ-WBL2501B,功能,果汁,1,1.0
179,midea/美的, MJ-WBL2501B,服务,好评,1,2.0
180,midea/美的, MJ-WBL2501B,服务,服务态度,1,2.0
181,midea/美的, MJ-WBL2501B,品牌,牌子,1,1.0
182,midea/美的, MJ-WBL2501B,款式,颜色,1,2.0
183,midea/美的, MJ-WBL2501B,款式,颜色,1,1.0
184,midea/美的, MJ-WBL2501B,功能,榨汁机,1,1.0
185,midea/美的, MJ-WBL2501B,功能,榨汁机,1,2.0
186,midea/美的, MJ-WBL2501B,功能,功率,-1,1.0
187,midea/美的, MJ-WBL2501B,质量,嗓音,1,1.0
188,midea/美的, MJ-WBL2501B,功能,搅拌机,1,1.0
189,midea/美的, MJ-WBL2501B,功能,果肉,1,1.0
190,midea/美的, MJ-WBL2501B,质量,噪声,1,1.0
191,midea/美的, MJ-WBL2501B,功能,细粉,-1,1.0
192,midea/美的, MJ-WBL2501B,功能,西瓜汁,1,1.0
193,midea/美的, MJ-WBL2501B,服务,客服,1,1.0
194,midea/美的, MJ-WBL2501B,服务,信誉,1,1.0
195,braun/博朗, FP3010,品牌,品牌,1,1.0
196,braun/博朗, FP3010,质量,噪音,-1,1.0
197,braun/博朗, FP3010,服务,说明书,-1,1.0
198,braun/博朗, FP3010,服务,卖家,1,1.0
199,nathome/北欧欧慕,NJB103SA,服务,包装,1,1.0
200,nathome/北欧欧慕,NJB103SA,功能,功能,1,1.0
201,nathome/北欧欧慕,NJB103SA,款式,外观,1,1.0
202,nathome/北欧欧慕,NJB103SA,款式,外观,1,1.0
203,nathome/北欧欧慕,NJB103SA,适用人群,宝贝,1,1.0
204,nathome/北欧欧慕,NJB103SA,价格,性价比,1,1.0
205,nathome/北欧欧慕,NJB103SA,物流,物流,1,1.0
206,nathome/北欧欧慕,NJB103SA,物流,物流,1,1.0
207,nathome/北欧欧慕,NJB103SA,服务,客服,1,1.0
208,nathome/北欧欧慕,NJB103SA,服务,态度,-1,1.0
209,nathome/北欧欧慕,NJB103SA,服务,态度,1,1.0
210,nathome/北欧欧慕,NJB103SA,服务,态度,1,1.0
211,nathome/北欧欧慕,NJB103SA,质量,质量,1,1.0
212,nathome/北欧欧慕,NJB103SA,质量,质量,1,1.0
213,nathome/北欧欧慕,NJB103SA,质量,质量,1,1.0
214,nathome/北欧欧慕,NJB103SA,款式,外观,1,1.0
215,nathome/北欧欧慕,NJB103SA,服务,包装,1,2.0
216,nathome/北欧欧慕,NJB103SA,服务,包装,1,1.0
217,nathome/北欧欧慕,NJB103SA,服务,包装,1,1.0
218,nathome/北欧欧慕,NJB103SA,质量,挺好,1,1.0
219,nathome/北欧欧慕,NJB103SA,功能,绞肉,1,1.0
220,nathome/北欧欧慕,NJB103SA,质量,声音,1,1.0
221,joyoung/九阳, JYL-C012,质量,声音,1,27.0
222,joyoung/九阳, JYL-C012,质量,声音,1,5.0
223,joyoung/九阳, JYL-C012,质量,声音,1,1.0
224,joyoung/九阳, JYL-C012,质量,声音,-1,5.0
225,joyoung/九阳, JYL-C012,质量,声音,-1,3.0
226,joyoung/九阳, JYL-C012,服务,包装,1,5.0
227,joyoung/九阳, JYL-C012,服务,包装,1,3.0
228,joyoung/九阳, JYL-C012,服务,包装,1,3.0
229,joyoung/九阳, JYL-C012,服务,包装,1,3.0
230,joyoung/九阳, JYL-C012,服务,包装,1,1.0
231,joyoung/九阳, JYL-C012,服务,包装,1,1.0
232,joyoung/九阳, JYL-C012,价格,性价比,1,2.0
233,joyoung/九阳, JYL-C012,价格,性价比,0,2.0
234,joyoung/九阳, JYL-C012,服务,服务态度,1,6.0
235,joyoung/九阳, JYL-C012,服务,服务态度,1,10.0
236,joyoung/九阳, JYL-C012,质量,质量,1,9.0
237,joyoung/九阳, JYL-C012,质量,质量,1,17.0
238,joyoung/九阳, JYL-C012,质量,质量,1,1.0
239,joyoung/九阳, JYL-C012,质量,质量,1,15.0
240,joyoung/九阳, JYL-C012,质量,质量,1,1.0
241,joyoung/九阳, JYL-C012,质量,质量,-1,1.0
242,joyoung/九阳, JYL-C012,质量,质量,-1,1.0
243,joyoung/九阳, JYL-C012,服务,态度,1,4.0
244,joyoung/九阳, JYL-C012,服务,态度,-1,1.0
245,joyoung/九阳, JYL-C012,服务,态度,1,3.0
246,joyoung/九阳, JYL-C012,服务,态度,1,4.0
247,joyoung/九阳, JYL-C012,服务,态度,1,1.0
248,joyoung/九阳, JYL-C012,功能,功能,1,9.0
249,joyoung/九阳, JYL-C012,功能,功能,1,1.0
250,joyoung/九阳, JYL-C012,功能,功能,1,1.0
251,joyoung/九阳, JYL-C012,功能,功能,1,1.0
252,joyoung/九阳, JYL-C012,功能,功能,1,1.0
253,joyoung/九阳, JYL-C012,功能,功能,1,1.0
254,joyoung/九阳, JYL-C012,功能,功能,1,1.0
255,joyoung/九阳, JYL-C012,质量,噪音,1,7.0
256,joyoung/九阳, JYL-C012,质量,噪音,1,1.0
257,joyoung/九阳, JYL-C012,价格,价钱,1,1.0
258,joyoung/九阳, JYL-C012,价格,价钱,1,1.0
259,joyoung/九阳, JYL-C012,价格,价钱,1,1.0
260,joyoung/九阳, JYL-C012,价格,价钱,1,1.0
261,joyoung/九阳, JYL-C012,服务,客服,1,6.0
262,joyoung/九阳, JYL-C012,服务,客服,1,1.0
263,joyoung/九阳, JYL-C012,服务,客服,1,3.0
264,joyoung/九阳, JYL-C012,服务,客服,1,1.0
265,joyoung/九阳, JYL-C012,服务,客服,1,1.0
266,joyoung/九阳, JYL-C012,服务,客服,1,1.0
267,joyoung/九阳, JYL-C012,服务,客服,1,1.0
268,joyoung/九阳, JYL-C012,品牌,牌子,1,1.0
269,joyoung/九阳, JYL-C012,适用人群,宝贝,1,8.0
270,joyoung/九阳, JYL-C012,适用人群,宝贝,1,10.0
271,joyoung/九阳, JYL-C012,适用人群,宝贝,1,2.0
272,joyoung/九阳, JYL-C012,适用人群,宝贝,1,1.0
273,joyoung/九阳, JYL-C012,服务,卖家,1,3.0
274,joyoung/九阳, JYL-C012,款式,外观,1,1.0
275,joyoung/九阳, JYL-C012,品牌,九阳,1,1.0
276,joyoung/九阳, JYL-C012,品牌,九阳,1,1.0
277,joyoung/九阳, JYL-C012,质量,挺好,1,2.0
278,joyoung/九阳, JYL-C012,质量,挺好,1,6.0
279,joyoung/九阳, JYL-C012,质量,挺好,1,1.0
280,joyoung/九阳, JYL-C012,质量,挺好,1,1.0
281,joyoung/九阳, JYL-C012,质量,挺好,1,1.0
282,joyoung/九阳, JYL-C012,质量,挺好,1,1.0
283,joyoung/九阳, JYL-C012,质量,挺好,1,1.0
284,joyoung/九阳, JYL-C012,质量,挺好,1,1.0
285,joyoung/九阳, JYL-C012,服务,好评,1,3.0
286,joyoung/九阳, JYL-C012,服务,好评,1,1.0
287,joyoung/九阳, JYL-C012,服务,好评,1,1.0
288,joyoung/九阳, JYL-C012,功能,绞肉,-1,1.0
289,joyoung/九阳, JYL-C012,功能,绞肉,1,1.0
290,joyoung/九阳, JYL-C012,功能,绞肉,-1,1.0
291,joyoung/九阳, JYL-C012,功能,绞肉,1,1.0
292,joyoung/九阳, JYL-C012,物流,物流,1,2.0
293,joyoung/九阳, JYL-C012,物流,物流,1,7.0
294,joyoung/九阳, JYL-C012,物流,物流,1,8.0
295,joyoung/九阳, JYL-C012,物流,物流,1,1.0
296,joyoung/九阳, JYL-C012,物流,物流,-1,1.0
297,joyoung/九阳, JYL-C012,价格,价格,1,3.0
298,joyoung/九阳, JYL-C012,价格,价格,1,2.0
299,joyoung/九阳, JYL-C012,价格,价格,1,1.0
300,joyoung/九阳, JYL-C012,价格,价格,1,1.0
301,joyoung/九阳, JYL-C012,价格,价格,1,3.0
302,joyoung/九阳, JYL-C012,价格,价格,1,3.0
303,joyoung/九阳, JYL-C012,价格,价格,1,1.0
304,joyoung/九阳, JYL-C012,价格,价格,1,1.0
305,joyoung/九阳, JYL-C012,功能,核桃,0,1.0
306,joyoung/九阳, JYL-C012,功能,榨汁,1,1.0
307,joyoung/九阳, JYL-C012,功能,榨汁,1,1.0
308,joyoung/九阳, JYL-C012,功能,榨汁机,1,2.0
309,joyoung/九阳, JYL-C012,功能,榨汁机,1,1.0
310,joyoung/九阳, JYL-C012,功能,效率,1,1.0
311,joyoung/九阳, JYL-C012,功能,果汁,1,1.0
312,joyoung/九阳, JYL-C012,功能,果汁,1,3.0
313,joyoung/九阳, JYL-C012,功能,果汁,1,1.0
314,joyoung/九阳, JYL-C012,功能,果汁,1,1.0
315,joyoung/九阳, JYL-C012,功能,果汁,1,1.0
316,joyoung/九阳, JYL-C012,功能,果汁,1,1.0
317,joyoung/九阳, JYL-C012,功能,果汁机,1,1.0
318,joyoung/九阳, JYL-C012,功能,苹果汁,1,1.0
319,joyoung/九阳, JYL-C012,使用场景,家庭,1,1.0
320,joyoung/九阳, JYL-C012,价格,超值,1,1.0
321,joyoung/九阳, JYL-C012,质量,噪声,1,1.0
322,joyoung/九阳, JYL-C012,功能,速度快,1,1.0
323,joyoung/九阳, JYL-C012,价格,杠杠,1,1.0
324,joyoung/九阳, JYL-C012,功能,用途,1,1.0
325,joyoung/九阳, JYL-C012,功能,用途,1,1.0
326,joyoung/九阳, JYL-C012,物流,小哥,1,1.0
327,joyoung/九阳, JYL-C012,质量,刀头,1,1.0
328,joyoung/九阳, JYL-C012,质量,刀头,1,1.0
329,joyoung/九阳, JYL-C012,功能,功率,1,2.0
330,joyoung/九阳, JYL-C012,适用人群,老人,1,1.0
331,joyoung/九阳, JYL-C012,质量,塑料味,-1,1.0
332,joyoung/九阳, JYL-C012,款式,颜色,1,1.0
333,joyoung/九阳, JYL-C012,服务,亲们,1,2.0
334,joyoung/九阳, JYL-C012,功能,水果汁,1,1.0
335,joyoung/九阳, JYL-C012,功能,水果汁,1,1.0
336,joyoung/九阳, JYL-C012,功能,水果汁,1,1.0
337,joyoung/九阳, JYL-C012,功能,过滤网,1,1.0
338,joyoung/九阳, JYL-C012,适用人群,妈妈,1,1.0
339,joyoung/九阳, JYL-C012,质量,香香,1,1.0
340,joyoung/九阳, JYL-C012,功能,孜然粉,1,1.0
341,joyoung/九阳, JYL-C012,质量,道具,1,1.0
342,joyoung/九阳, JYL-C012,质量,电源线,-1,1.0
343,joyoung/九阳, JYL-C012,使用场景,家里,1,1.0
344,joyoung/九阳, JYL-C012,使用场景,家里,1,1.0
345,joyoung/九阳, JYL-C012,适用人群,老板,1,1.0
346,joyoung/九阳, JYL-C012,适用人群,老板,1,1.0
347,joyoung/九阳, JYL-C012,功能,纤维,1,1.0
348,joyoung/九阳, JYL-C012,功能,西瓜汁,1,2.0
349,joyoung/九阳, JYL-C012,功能,西瓜汁,1,1.0
350,joyoung/九阳, JYL-C012,价格,太贵,1,1.0
351,joyoung/九阳, JYL-C012,质量,朋友们,1,1.0
352,joyoung/九阳, JYL-C012,服务,太阳,1,1.0
353,joyoung/九阳, JYL-C012,功能,冰棍,1,1.0
354,joyoung/九阳, JYL-C012,功能,芝麻酱,1,1.0
355,joyoung/九阳, JYL-C012,质量,质量,1,1.0
356,joyoung/九阳, JYL-C012,质量,质量,-1,1.0
357,joyoung/九阳, JYL-C012,质量,质量,1,1.0
358,joyoung/九阳, JYL-C012,质量,声音,1,9.0
359,joyoung/九阳, JYL-C012,质量,声音,-1,3.0
360,joyoung/九阳, JYL-C012,质量,挺好,1,1.0
361,joyoung/九阳, JYL-C012,服务,客服,1,1.0
362,joyoung/九阳, JYL-C012,服务,客服,1,1.0
363,joyoung/九阳, JYL-C012,服务,客服,1,1.0
364,joyoung/九阳, JYL-C012,服务,客服,-1,1.0
365,joyoung/九阳, JYL-C012,功能,绞肉,1,2.0
366,joyoung/九阳, JYL-C012,服务,态度,1,1.0
367,joyoung/九阳, JYL-C012,服务,态度,-1,1.0
368,joyoung/九阳, JYL-C012,适用人群,宝贝,1,2.0
369,joyoung/九阳, JYL-C012,服务,差评,-1,1.0
370,joyoung/九阳, JYL-C012,服务,包装,1,1.0
371,joyoung/九阳, JYL-C012,适用人群,老人家,1,1.0
372,joyoung/九阳, JYL-C012,功能,米糊,1,1.0
373,joyoung/九阳, JYL-C012,质量,滤网,1,1.0
374,joyoung/九阳, JYL-C012,功能,果汁,1,1.0
375,joyoung/九阳, JYL-C012,功能,果汁,1,1.0
376,joyoung/九阳, JYL-C012,款式,粉色,1,1.0
377,joyoung/九阳, JYL-C012,服务,好评,1,1.0
378,joyoung/九阳, JYL-C012,质量,塑料杯,-1,1.0
379,joyoung/九阳, JYL-C012,功能,功能,0,1.0
380,joyoung/九阳, JYL-C012,功能,功能,1,1.0
381,joyoung/九阳, JYL-C012,适用人群,宝贝,1,1.0
382,joyoung/九阳, JYL-C012,服务,服务态度,1,1.0
383,joyoung/九阳, JYL-C012,质量,声音,1,17.0
384,joyoung/九阳, JYL-C012,质量,声音,1,1.0
385,joyoung/九阳, JYL-C012,质量,声音,-1,3.0
386,joyoung/九阳, JYL-C012,质量,声音,-1,6.0
387,joyoung/九阳, JYL-C012,质量,声音,1,1.0
388,joyoung/九阳, JYL-C012,质量,质量,1,17.0
389,joyoung/九阳, JYL-C012,质量,质量,1,9.0
390,joyoung/九阳, JYL-C012,质量,质量,1,6.0
391,joyoung/九阳, JYL-C012,质量,质量,0,1.0
392,joyoung/九阳, JYL-C012,质量,质量,-1,2.0
393,joyoung/九阳, JYL-C012,质量,质量,-1,1.0
394,joyoung/九阳, JYL-C012,物流,物流,1,3.0
395,joyoung/九阳, JYL-C012,物流,物流,1,2.0
396,joyoung/九阳, JYL-C012,物流,物流,-1,1.0
397,joyoung/九阳, JYL-C012,物流,物流,1,1.0
398,joyoung/九阳, JYL-C012,适用人群,宝贝,1,2.0
399,joyoung/九阳, JYL-C012,适用人群,宝贝,1,7.0
400,joyoung/九阳, JYL-C012,适用人群,宝贝,1,7.0
401,joyoung/九阳, JYL-C012,适用人群,宝贝,1,4.0
402,joyoung/九阳, JYL-C012,适用人群,宝贝,1,2.0
403,joyoung/九阳, JYL-C012,服务,客服,-1,1.0
404,joyoung/九阳, JYL-C012,服务,客服,1,8.0
405,joyoung/九阳, JYL-C012,服务,客服,1,1.0
406,joyoung/九阳, JYL-C012,服务,客服,1,2.0
407,joyoung/九阳, JYL-C012,服务,客服,1,2.0
408,joyoung/九阳, JYL-C012,服务,客服,1,2.0
409,joyoung/九阳, JYL-C012,服务,客服,1,2.0
410,joyoung/九阳, JYL-C012,服务,客服,1,1.0
411,joyoung/九阳, JYL-C012,服务,客服,1,1.0
412,joyoung/九阳, JYL-C012,价格,价格,1,5.0
413,joyoung/九阳, JYL-C012,价格,价格,1,2.0
414,joyoung/九阳, JYL-C012,价格,价格,1,1.0
415,joyoung/九阳, JYL-C012,价格,价格,1,1.0
416,joyoung/九阳, JYL-C012,价格,价格,1,1.0
417,joyoung/九阳, JYL-C012,价格,价格,1,1.0
418,joyoung/九阳, JYL-C012,价格,价格,1,1.0
419,joyoung/九阳, JYL-C012,功能,果汁,1,2.0
420,joyoung/九阳, JYL-C012,功能,果汁,1,1.0
421,joyoung/九阳, JYL-C012,功能,果汁,1,1.0
422,joyoung/九阳, JYL-C012,价格,价位,1,1.0
423,joyoung/九阳, JYL-C012,功能,转速,1,1.0
424,joyoung/九阳, JYL-C012,功能,绞肉,1,1.0
425,joyoung/九阳, JYL-C012,功能,绞肉,-1,1.0
426,joyoung/九阳, JYL-C012,功能,绞肉,0,1.0
427,joyoung/九阳, JYL-C012,服务,态度,1,5.0
428,joyoung/九阳, JYL-C012,服务,态度,1,10.0
429,joyoung/九阳, JYL-C012,服务,态度,-1,1.0
430,joyoung/九阳, JYL-C012,服务,包装,1,1.0
431,joyoung/九阳, JYL-C012,服务,包装,1,1.0
432,joyoung/九阳, JYL-C012,服务,包装,1,1.0
433,joyoung/九阳, JYL-C012,服务,包装,1,4.0
434,joyoung/九阳, JYL-C012,服务,服务态度,1,8.0
435,joyoung/九阳, JYL-C012,服务,服务态度,1,9.0
436,joyoung/九阳, JYL-C012,价格,性价比,1,7.0
437,joyoung/九阳, JYL-C012,价格,性价比,0,1.0
438,joyoung/九阳, JYL-C012,价格,性价比,1,1.0
439,joyoung/九阳, JYL-C012,价格,性价比,1,1.0
440,joyoung/九阳, JYL-C012,功能,辅食,1,1.0
441,joyoung/九阳, JYL-C012,功能,辅食,1,1.0
