,brand,model,sku
69,bear/小熊,LLJ-A12A1,"{'产品功能': '榨汁\xa0干磨\xa0搅拌\xa0制奶昔\xa0混合\xa0绞肉', '适用人数': '5人及以上', '颜色分类': '咖啡色'}"
70,bear/小熊,LLJ-B08D1,"{'产品功能': '豆浆\xa0榨汁\xa0干磨\xa0搅拌\xa0混合\xa0绞肉', '适用人数': '1-5人', '颜色分类': '紫色'}"
71,bear/小熊,LLJ-A12G1,"{'产品功能': '婴儿辅食、面膜、豆浆\xa0榨汁\xa0干磨\xa0搅拌\xa0制奶昔\xa0混合\xa0绞肉\xa0切丝 切片', '适用人数': '1-3人', '颜色分类': '紫色'}"
72,bear/小熊,LLJ-A12Q3,"{'产品功能': '婴儿辅食、面膜、豆浆 榨汁 干磨 搅拌 制奶昔 混合 绞肉', '适用人数': '1-3人', '颜色分类': '深紫【收藏加购宝贝领券立减】'}"
73,bear/小熊,LLJ-A12W8,"{'产品功能': '豆浆\xa0榨汁\xa0干磨\xa0搅拌\xa0打蛋\xa0混合\xa0绞肉', '适用人数': '1-5人', '颜色分类': '蓝色'}"
74,bear/小熊,LLJ-B08G2,"{'产品功能': '豆浆\xa0榨汁\xa0干磨\xa0搅拌\xa0混合', '适用人数': '1-5人', '颜色分类': '白色'}"
75,krups,HP503180,"{'产品功能': '打发、油煎、蒸、炖、煮、炒、烩、乳化、保温\xa0榨汁\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0和面\xa0打蛋\xa0切丝 切片', '适用人数': '4-5人', '颜色分类': '白色'}"
76,bear/小熊,LLJ-B08J5,"{'产品功能': '榨汁\xa0搅拌\xa0混合', '适用人数': '1-5人', '颜色分类': '白色'}"
77,bear/小熊,LLJ-B12A1,"{'产品功能': '婴儿辅食、面膜、冰沙、豆浆 榨汁 干磨 搅拌 制奶昔 混合 绞肉', '适用人数': '1-5人', '颜色分类': '褐色'}"
78,bear/小熊,LLJ-B12K1,"{'产品功能': '婴儿辅食、面膜、豆浆\xa0榨汁\xa0干磨\xa0搅拌\xa0制奶昔\xa0混合\xa0绞肉', '适用人数': '1-5人', '颜色分类': '白色'}"
79,bear/小熊,QSJ-A01F2,"{'产品功能': '榨汁\xa0切菜\xa0制奶昔\xa0绞肉', '适用人数': '1-2人', '颜色分类': '蓝色'}"
80,bear/小熊,QSJ-A03A1,"{'产品功能': '切菜\xa0绞肉\xa0搅拌\xa0绞肉', '适用人数': '1-3人', '颜色分类': '紫色'}"
81,bear/小熊,QSJ-B02S1,"{'产品功能': '辅食\xa0榨汁\xa0切菜\xa0绞肉', '适用人数': '1-3人', '颜色分类': '白色'}"
82,bosch/博世,MMBS67GMCN,"{'产品功能': '榨汁 绞肉 碎冰 干磨 搅拌 制奶昔 混合 绞肉', '适用人数': '5人及以上', '颜色分类': '白色'}"
83,bear/小熊,QSJ-B03D1,"{'产品功能': '切菜\xa0绞肉\xa0干磨\xa0绞肉', '适用人数': '4-5人', '颜色分类': '咖啡色'}"
84,bear/小熊,QSJ-B03R2,"{'产品功能': '榨汁\xa0切菜\xa0绞肉\xa0切丝 切片', '适用人数': '1-3人', '颜色分类': '蓝色'}"
85,binglo,HS-302H,"{'产品功能': '榨汁 绞肉 碎冰 搅拌 制奶昔 绞肉', '适用人数': '4-5人', '颜色分类': '白色'}"
86,bosch/博世,54A00,"{'产品功能': '榨汁 切菜 绞肉 碎冰 搅拌 和面 打蛋 混合 绞肉', '适用人数': '1-3人', '颜色分类': '红色'}"
87,skg,1293,"{'产品功能': '榨汁\xa0切菜\xa0绞肉\xa0打蛋\xa0制奶昔', '适用人数': '1-3人', '颜色分类': '黑色'}"
88,braun/博朗, FP3010,"{'产品功能': '切菜\xa0搅拌\xa0和面\xa0打蛋\xa0制奶昔\xa0混合\xa0切丝 切片', '适用人数': '4-5人', '颜色分类': '白色'}"
89,braun/博朗, JB7192,"{'产品功能': '榨汁 绞肉 碎冰 搅拌 制奶昔 混合', '适用人数': '1-3人', '颜色分类': '银色'}"
90,braun/博朗, JM3013,"{'产品功能': '榨汁 切菜 绞肉 碎冰 搅拌 打蛋 制奶昔 混合 绞肉', '适用人数': '1-3人', '颜色分类': 'HR1608'}"
91,braun/博朗, MQ300,"{'产品功能': '绞肉 搅拌 打蛋 制奶昔 绞肉', '适用人数': '1-3人', '颜色分类': 'MQ300 MQ325 MQ505 MQ525 MQ545 MQ705 MQ745 MQ787'}"
92,braun/博朗, MQ3000,"{'产品功能': '榨汁 搅拌 制奶昔 混合', '适用人数': '1-3人', '颜色分类': '黑色'}"
93,braun/博朗, MQ3025,"{'产品功能': '榨汁\xa0绞肉\xa0搅拌\xa0打蛋\xa0制奶昔\xa0混合', '适用人数': '1-3人', '颜色分类': '蓝色'}"
94,braun/博朗, MQ325,"{'产品功能': '切菜\xa0搅拌\xa0打蛋\xa0制奶昔', '适用人数': '1-3人', '颜色分类': '开发票MQ300 开发票MQ325'}"
95,braun/博朗, MQ500,"{'产品功能': '榨汁 切菜 绞肉 碎冰 干磨 搅拌 打蛋 制奶昔 混合 绞肉', '适用人数': '1-3人', '颜色分类': '白色'}"
96,braun/博朗, MQ5025,"{'产品功能': '榨汁 绞肉 搅拌 打蛋 制奶昔 混合 绞肉', '适用人数': '1-3人', '颜色分类': '黑色'}"
97,braun/博朗, MQ505,"{'产品功能': '搅拌 打蛋 制奶昔', '适用人数': '1-3人', '颜色分类': 'MQ505全国联保'}"
98,braun/博朗, MQ525,"{'产品功能': '宝宝辅食 榨汁 切菜 绞肉 搅拌 打蛋 制奶昔 绞肉', '适用人数': '1-3人', '颜色分类': '白色'}"
99,braun/博朗, MQ530,"{'产品功能': '搅拌\xa0打蛋\xa0制奶昔\xa0混合\xa0绞肉', '适用人数': '1-3人', '颜色分类': '白色'}"
100,braun/博朗, MQ545,"{'产品功能': '切菜 绞肉 碎冰 搅拌 打蛋 制奶昔', '适用人数': '1-3人', '颜色分类': '机打发票联保MQ505 机打发票联保Q525 机打发票联保MQ545'}"
101,braun/博朗, MQ700,"{'产品功能': '榨汁 切菜 绞肉 碎冰 干磨 搅拌 和面 打蛋 制奶昔 混合 绞肉 切丝 切片', '适用人数': '4-5人', '颜色分类': '黑色'}"
102,braun/博朗, MQ700料理机配件,"{'产品功能': '榨汁\xa0切菜\xa0制奶昔\xa0绞肉', '适用人数': '1-2人', '颜色分类': '蓝色'}"
103,braun/博朗, MQ705,"{'产品功能': '搅拌\xa0打蛋\xa0制奶昔', '适用人数': '1-3人', '颜色分类': 'MQ705 正品带票 全国联保 MQ745 正品带票 全国联保 MQ787 正品带票 全国联保'}"
104,braun/博朗, MQ745/MQ785,"{'产品功能': '榨汁\xa0切菜\xa0绞肉\xa0碎冰\xa0搅拌\xa0打蛋\xa0制奶昔', '适用人数': '5人及以上', '颜色分类': '黑色'}"
105,braun/博朗, MQ785,"{'产品功能': '榨汁 切菜 绞肉 搅拌 打蛋 制奶昔 绞肉', '适用人数': '1-3人', '颜色分类': '黑色'}"
106,braun/博朗, MQ787,"{'产品功能': '切菜\xa0绞肉\xa0搅拌\xa0和面\xa0打蛋\xa0制奶昔\xa0切丝 切片', '适用人数': '1-3人', '颜色分类': '黑色'}"
107,braun/博朗, MQ9087X,"{'产品功能': '榨汁\xa0切菜\xa0绞肉\xa0搅拌\xa0和面\xa0打蛋\xa0制奶昔\xa0混合\xa0切丝 切片', '适用人数': '1-3人', '颜色分类': '黑色'}"
108,clara,XD-K20E,"{'产品功能': '榨汁 切菜 绞肉 碎冰 干磨 搅拌 和面 打蛋 制奶昔 混合 绞肉 切丝 切片', '适用人数': '4-5人', '颜色分类': '红色'}"
109,long plus,60,"{'产品功能': '榨汁\xa0切菜\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0制奶昔\xa0混合\xa0绞肉', '适用人数': '5人及以上', '颜色分类': '粉色'}"
110,deass/德氏,FE318F1,"{'产品功能': '榨汁 切菜 绞肉 碎冰 干磨 搅拌 和面 打蛋 制奶昔 混合 绞肉', '适用人数': '4-5人', '颜色分类': '蓝色'}"
111,electrolux/伊莱克斯,EMB3005,"{'产品功能': '榨汁\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌', '适用人数': '1-3人', '颜色分类': '银色'}"
112,fagor/法格,BV-373B,"{'产品功能': '榨汁\xa0干磨\xa0搅拌\xa0制奶昔\xa0混合\xa0绞肉', '适用人数': '1-3人', '颜色分类': '白色'}"
113,fagor/法格,BV-375KNA,"{'产品功能': '榨汁\xa0切菜\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0和面\xa0打蛋\xa0制奶昔', '适用人数': '5人及以上', '颜色分类': '白色'}"
114,fornonr/方奈优品,FN-800,"{'产品功能': '榨汁 绞肉 碎冰 搅拌 混合 绞肉', '适用人数': '5人及以上', '颜色分类': '黑色'}"
115,fronton/弗朗顿,JB-1525AG,"{'产品功能': '榨汁 切菜 绞肉 碎冰 干磨 搅拌 打蛋 制奶昔 混合 绞肉', '适用人数': '5人及以上', '颜色分类': '黑色'}"
116,fronton/弗朗顿,MNS-PB106,"{'产品功能': '榨汁 切菜 绞肉 搅拌 制奶昔', '适用人数': '5人及以上', '颜色分类': '黑色'}"
117,fulaier/福莱尔,FLE-219C,"{'产品功能': '榨汁\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0和面\xa0打蛋\xa0制奶昔\xa0混合\xa0绞肉', '适用人数': '4-5人', '颜色分类': '紫色'}"
118,german pool/德国宝,PRO-10,"{'产品功能': '榨汁\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0制奶昔\xa0混合', '适用人数': '5人及以上', '颜色分类': '白色'}"
119,fulaier/福莱尔,FLE-219F,"{'产品功能': '榨汁\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0和面\xa0打蛋\xa0制奶昔\xa0混合\xa0绞肉', '适用人数': '4-5人', '颜色分类': '绿色'}"
120,fulaier/福莱尔,FLE518A,"{'产品功能': '榨汁\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0制奶昔\xa0混合', '适用人数': '4-5人', '颜色分类': '蓝色'}"
121,hap/韩派,M400,"{'产品功能': '榨汁 绞肉 碎冰 干磨 搅拌 和面 打蛋 制奶昔 混合 绞肉', '适用人数': '5人及以上', '颜色分类': '香槟金'}"
122,fxunshi/华迅仕,MD-8500A,"{'产品功能': '榨汁\xa0切菜\xa0绞肉\xa0干磨\xa0搅拌\xa0和面\xa0打蛋', '适用人数': '5人及以上', '颜色分类': '黑色'}"
123,gemside/捷赛,JSP01,"{'产品功能': '榨汁\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0制奶昔\xa0混合', '适用人数': '4-5人', '颜色分类': '红色'}"
124,hattiecs/海蒂诗,AJ-5123,"{'产品功能': '切菜 绞肉 碎冰 干磨 搅拌 制奶昔 混合 绞肉', '适用人数': '1-3人', '颜色分类': '卡其色'}"
125,hattiecs/海蒂诗,RBM-728,"{'产品功能': '榨汁 绞肉 碎冰 干磨 搅拌 制奶昔 混合 绞肉', '适用人数': '5人及以上', '颜色分类': '绅士红'}"
126,haier/海尔,HBB-B0105,"{'产品功能': '榨汁\xa0切菜\xa0绞肉\xa0搅拌\xa0打蛋\xa0制奶昔\xa0混合\xa0绞肉', '适用人数': '1-3人', '颜色分类': '白色'}"
127,herpusi,HC-1500,"{'产品功能': '碎冰\xa0搅拌\xa0制奶昔\xa0混合', '适用人数': '4-5人', '颜色分类': '红色'}"
128,herpusi,HC-302Q,"{'产品功能': '榨汁 绞肉 碎冰 干磨 搅拌 打蛋 制奶昔 混合 绞肉', '适用人数': '1-3人', '颜色分类': '黑色'}"
129,herpusi,HD-175A,"{'产品功能': '豆浆，玉米汁，营养糊，宝宝辅食，老人流食 榨汁 碎冰 干磨 搅拌 制奶昔 混合', '适用人数': '4-5人', '颜色分类': '玫瑰金'}"
130,hgsuper,HG7701,"{'产品功能': '榨汁 切菜 绞肉 碎冰 干磨 搅拌 和面 打蛋 制奶昔 混合 绞肉 切丝 切片', '适用人数': '1-5人', '颜色分类': '黑色'}"
131,hgsuper,HG7702,"{'产品功能': '榨汁 绞肉 碎冰 干磨 搅拌 打蛋 制奶昔 混合 绞肉', '适用人数': '4-5人', '颜色分类': '灰色'}"
132,home-mill/好磨家,HMJ-1001,"{'产品功能': '榨汁 绞肉 碎冰 干磨 搅拌 制奶昔 绞肉', '适用人数': '1-3人', '颜色分类': '白色 绿色 橙色'}"
133,hyundai/现代,089,"{'产品功能': '绞肉\xa0碎冰\xa0搅拌\xa0和面\xa0打蛋\xa0混合\xa0绞肉', '适用人数': '4-5人', '颜色分类': '蓝色 白色'}"
134,hyundai/现代,QC-JR089,"{'产品功能': '榨汁 切菜 绞肉 碎冰 干磨 搅拌 和面 打蛋 制奶昔 混合 绞肉', '适用人数': '4-5人', '颜色分类': '升级版5件套 升级版5件套+研磨杯'}"
135,luby/洛贝,LBL-SL01,"{'产品功能': '糊  粥 蒸煮 果蔬汁  汤羹 冰沙\xa0榨汁\xa0碎冰\xa0搅拌\xa0混合', '适用人数': '4-5人', '颜色分类': '白色'}"
136,jese/洁氏,JS-100G,"{'产品功能': '榨汁\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0制奶昔\xa0混合', '适用人数': '4-5人', '颜色分类': '黑色'}"
137,jese/洁氏,JS-100Y,"{'产品功能': '加热,豆浆,米糊,宝宝辅食,浓汤,绵粥\xa0榨汁\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0打蛋\xa0制奶昔\xa0混合\xa0绞肉', '适用人数': '4-5人', '颜色分类': '白色'}"
138,joyoung/九阳, JYL-C020E,"{'产品功能': '绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0打蛋\xa0制奶昔\xa0混合\xa0绞肉', '适用人数': '4-5人', '颜色分类': '白色'}"
139,joyoung/九阳, C020E,"{'产品功能': '榨汁 搅拌 打蛋 制奶昔 混合', '适用人数': '4-5人', '颜色分类': '紫色'}"
140,joyoung/九阳, C91T,"{'产品功能': '碎冰 干磨 搅拌 制奶昔 混合 绞肉', '适用人数': '1-3人', '颜色分类': '黑色'}"
141,joyoung/九阳, JYB-F1,"{'产品功能': '搅拌\xa0打蛋\xa0制奶昔\xa0混合\xa0绞肉', '适用人数': '4-5人', '颜色分类': '白色'}"
142,joyoung/九阳, JYL-C010,"{'产品功能': '榨汁\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0制奶昔\xa0混合', '适用人数': '4-5人', '颜色分类': '白色'}"
143,joyoung/九阳, JYL-C012料理机,"{'产品功能': '榨汁 绞肉 碎冰 干磨 搅拌 混合', '适用人数': '4-5人', '颜色分类': '银色'}"
144,joyoung/九阳, JYL-C020E料理机,"{'产品功能': '绞肉 碎冰 干磨 搅拌 打蛋 制奶昔 混合 绞肉', '适用人数': '4-5人', '颜色分类': '蓝色'}"
145,joyoung/九阳, JYL-C022E,"{'产品功能': '宝宝辅食 婴儿辅食\xa0榨汁\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0制奶昔\xa0混合\xa0绞肉', '适用人数': '1-3人', '颜色分类': '白色'}"
146,mcdou/麦豆,FSJD2,"{'产品功能': '榨汁 切菜 绞肉 搅拌 制奶昔 混合 绞肉', '适用人数': '1-3人', '颜色分类': '香槟金'}"
